Name,Description,Duration,Year,Type
Mi amor en navidad,"Lucas, un famoso cantante cuyo mayor éxito ha sido ""Mi Amor en Navidad"", decide tomarse un descanso, volviendo a su pueblo natal para pasar las fiestas. Allí se reencuentra con Elisa, su primer amor y la inspiración de su éxito navideño.","0 horas, 55 minutos",2023,movie
Una navidad para recordar,"Sebastián, quien odia la Navidad y enfrenta su primer año sin sus hijos después de un divorcio, decide pasar la temporada con su madre Ángela, quien padece de Alzheimer.","0 horas, 55 minutos",2022,movie
Intercambio navideño,"Las gemelas Maya y Ana, separadas al nacer y con vidas totalmente distintas, se descubren e intercambian vidas por una noche, alterando sus destinos para siempre.","0 horas, 56 minutos",2023,movie
La mejor Navidad,"Gloria, enfocada en su trabajo en Miami después de su divorcio, envía a sus hijos a pasar la Navidad con su exmarido en Jalisco. Lo que no imaginan es que esta decisión les va a cambiar la vida.","1 horas, 2 minutos",2022,movie
Un Papá para Navidad,"Rebeca, una estrella de las redes sociales enfocada en la fama, recibe una sorpresa cuando un desconocido, que dice ser su padre, aparece en Navidad.","0 horas, 55 minutos",2022,movie
Juntos esta Navidad,"Luego de una ruptura amorosa, Isabel y el viudo Juan Andrés con su hija comparten, accidentalmente, una cabaña navideña. Circunstancias inusuales y la magia de las fiestas resultarán en una unión muy especial.","0 horas, 53 minutos",2023,movie
Los Fantasmas Contraatacan,"Frank Cross es un cruel ejecutivo de televisión con las cualidades perfectas de un Scrooge de los tiempos modernos. Antes de que termine la noche, lo visitarán tres fantasmas del pasado, el presente y el futuro.","1 horas, 58 minutos",1987,movie
A Christmas Karen,"Karen es una mujer de mediana edad que, debido a su actitud exigente y arrogante, ha alienado a sus amigos y familia. Un día, Karen recibe una visita por parte de unos espíritus no convencionales.","1 horas, 56 minutos",2022,movie
Dear Secret Santa,"Tatyana Ali estelariza en esta película llena de estrellas, incluyendo a Jordin Sparks, Ernie Hudson y Della Reese. ¡Es un reconfortante romance navideño!","1 horas, 46 minutos",1969,movie
Un romance navideño,Dos extraños con mala suerte se unen para tratar de llegar a casa por Navidad.,"1 horas, 59 minutos",2019,movie
Una Navidad de Cuento,"En esta alegre versión del clásico de Dickens, Carol (Tori Spelling) interpreta a una presentadora de programas de televisión egoísta que está decidida a destruir la diversión festiva en el estudio. Por sus acciones, tres espíritus la visitarán.","1 horas, 41 minutos",2003,movie
Salvando Navidad,"Un niño, Danny, intenta demostrar la existencia de Santa usando su inteligencia y sus dispositivos. Él y su grupo de confianza emprenden un intenso viaje para encontrar la verdad de Santa.","1 horas, 44 minutos",2017,movie
La navidad de Jonathan,"Cuando un niño pierde el belén de madera que lo vincula con su padre muerto, su madre preocupada convence a un tallador de madera solitario y malhumorado para crear un reemplazo y permitir que su hijo lo vea trabajar en él","1 horas, 49 minutos",2007,movie
Una Esperanza de Navidad,"Esta es una encantadora y conmovedora historia navideña sobre la esperanza, el perdón y la fe, que cuenta cómo una madre soltera y su única hija de siete años encuentran un Santa Claus que puede cambiar sus vidas.","1 horas, 57 minutos",2019,movie
Bailey: Un héroe de Navidad,"Es ""tiempo de Navidad"" y Bailey preocupado de que no recibirá  regalos porque ha sido un mal perrito, aprende acerca de un misterioso indio nativo americano que puede ser capaz de hacer que sus deseos se hagan realidad.","1 horas, 42 minutos",2012,movie
Christmas With Tucker,"Tras la muerte de su padre, un niño forma un vínculo especial con el perro de un vecino y aprende a ser un hombre ayudando a sus abuelos durante una tormenta invernal.","1 horas, 42 minutos",2012,movie
Una Noche Especial,"Catherine y Robert son unos adultos mayores que nunca pensaron que podían encontrar algo increíble entre ellos. Su encuentro es una noche especial, siendo esto el inicio de una relación para vivir una segunda oportunidad de sentir verdadero amor.","1 horas, 46 minutos",1998,movie
Jessabelle,"Al regresar a su hogar de la infancia en Louisiana para recuperarse de un horrible accidente automovilístico, Jessabelle se encuentra cara a cara con un espíritu atormentado que ha estado esperando su regreso, y no tiene intención de dejarla escapar.","1 horas, 46 minutos",2014,movie
